image,status,issues,duplicate_of,face_proportion,symmetry,report
frame033456.jpg,passed,,,широкое,умеренная симметрия,frame033456_portrait.json
frame033480.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame033480_portrait.json
frame033600.jpg,passed,,,широкое,выраженная асимметрия,frame033600_portrait.json
frame033672.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame033672_portrait.json
frame039024.jpg,passed,,,широкое,высокая симметрия,frame039024_portrait.json
frame039072.jpg,warning,сильный наклон головы,,широкое,выраженная асимметрия,frame039072_portrait.json
frame039264.jpg,passed,,,широкое,высокая симметрия,frame039264_portrait.json
frame040248.jpg,passed,,,широкое,высокая симметрия,frame040248_portrait.json
frame040776.jpg,passed,,,широкое,высокая симметрия,frame040776_portrait.json
frame040848.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame040848_portrait.json
frame040896.jpg,passed,,,широкое,выраженная асимметрия,frame040896_portrait.json
frame040920.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame040920_portrait.json
frame042840.jpg,warning,рот заметно открыт; требуется нейтральное выражение,,широкое,умеренная симметрия,frame042840_portrait.json
frame043032.jpg,warning,лицо заметно повернуто,,среднее,выраженная асимметрия,frame043032_portrait.json
frame043128.jpg,warning,сильный наклон головы,,широкое,выраженная асимметрия,frame043128_portrait.json
frame043152.jpg,warning,лицо заметно повернуто,,среднее,выраженная асимметрия,frame043152_portrait.json
frame043224.jpg,warning,лицо заметно повернуто,,широкое,выраженная асимметрия,frame043224_portrait.json
frame043272.jpg,passed,,,широкое,умеренная симметрия,frame043272_portrait.json
frame044880.jpg,error,"На фотографии не найдено лицо. Попробуйте кадр крупнее, анфас и при более равномерном освещении.",,,,
frame050232.jpg,passed,,,широкое,высокая симметрия,frame050232_portrait.json
frame050328.jpg,warning,сильный наклон головы,,широкое,умеренная симметрия,frame050328_portrait.json
frame050544.jpg,warning,сильный наклон головы,,широкое,выраженная асимметрия,frame050544_portrait.json
